x,y,z,year,month,day,body
2.826329512793957E+08,2.507341134507286E+08,-4.214706694238796E+07,1900,1,01,4vesta
2.816670920960876E+08,2.519528778331355E+08,-4.206930829914260E+07,1900,1,02,4vesta
2.806961258598284E+08,2.531670832985063E+08,-4.199078589734340E+07,1900,1,03,4vesta
2.797200733482823E+08,2.543767106523001E+08,-4.191150163639319E+07,1900,1,04,4vesta
2.787389553858973E+08,2.555817407890090E+08,-4.183145742420483E+07,1900,1,05,4vesta
2.777527928436140E+08,2.567821546920554E+08,-4.175065517716265E+07,1900,1,06,4vesta
2.767616066385780E+08,2.579779334336885E+08,-4.166909682008437E+07,1900,1,07,4vesta
2.757654177338531E+08,2.591690581748818E+08,-4.158678428618337E+07,1900,1,08,4vesta
2.747642471381384E+08,2.603555101652296E+08,-4.150371951703088E+07,1900,1,09,4vesta
2.737581159054871E+08,2.615372707428452E+08,-4.141990446251906E+07,1900,1,10,4vesta
2.727470451350287E+08,2.627143213342577E+08,-4.133534108082408E+07,1900,1,11,4vesta
2.717310559706923E+08,2.638866434543101E+08,-4.125003133836920E+07,1900,1,12,4vesta
2.707101696009342E+08,2.650542187060576E+08,-4.116397720978892E+07,1900,1,13,4vesta
2.696844072584659E+08,2.662170287806649E+08,-4.107718067789274E+07,1900,1,14,4vesta
2.686537902199864E+08,2.673750554573056E+08,-4.098964373362957E+07,1900,1,15,4vesta
2.676183398059153E+08,2.685282806030604E+08,-4.090136837605239E+07,1900,1,16,4vesta
2.665780773801301E+08,2.696766861728164E+08,-4.081235661228316E+07,1900,1,17,4vesta
2.655330243497040E+08,2.708202542091659E+08,-4.072261045747809E+07,1900,1,18,4vesta
2.644832021646476E+08,2.719589668423069E+08,-4.063213193479317E+07,1900,1,19,4vesta
2.634286323176524E+08,2.730928062899421E+08,-4.054092307535002E+07,1900,1,20,4vesta
2.623693363438361E+08,2.742217548571802E+08,-4.044898591820208E+07,1900,1,21,4vesta
2.613053358204914E+08,2.753457949364355E+08,-4.035632251030103E+07,1900,1,22,4vesta
2.602366523668363E+08,2.764649090073299E+08,-4.026293490646352E+07,1900,1,23,4vesta
2.591633076437669E+08,2.775790796365939E+08,-4.016882516933832E+07,1900,1,24,4vesta
2.580853233536128E+08,2.786882894779682E+08,-4.007399536937334E+07,1900,1,25,4vesta
2.570027212398942E+08,2.797925212721061E+08,-3.997844758478372E+07,1900,1,26,4vesta
2.559155230870816E+08,2.808917578464765E+08,-3.988218390151934E+07,1900,1,27,4vesta
2.548237507203585E+08,2.819859821152663E+08,-3.978520641323319E+07,1900,1,28,4vesta
2.537274260053846E+08,2.830751770792841E+08,-3.968751722124983E+07,1900,1,29,4vesta
2.526265708480628E+08,2.841593258258642E+08,-3.958911843453407E+07,1900,1,30,4vesta
2.515212071943076E+08,2.852384115287709E+08,-3.949001216966014E+07,1900,1,31,4vesta
2.504113570298160E+08,2.863124174481035E+08,-3.939020055078083E+07,1900,2,01,4vesta
2.492970423798404E+08,2.873813269302012E+08,-3.928968570959720E+07,1900,2,02,4vesta
2.481782853089638E+08,2.884451234075487E+08,-3.918846978532831E+07,1900,2,03,4vesta
2.470551079208767E+08,2.895037903986832E+08,-3.908655492468148E+07,1900,2,04,4vesta
2.459275323581566E+08,2.905573115081007E+08,-3.898394328182252E+07,1900,2,05,4vesta
2.447955808020492E+08,2.916056704261627E+08,-3.888063701834634E+07,1900,2,06,4vesta
2.436592754722519E+08,2.926488509290047E+08,-3.877663830324785E+07,1900,2,07,4vesta
2.425186386266991E+08,2.936868368784447E+08,-3.867194931289341E+07,1900,2,08,4vesta
2.413736925613498E+08,2.947196122218906E+08,-3.856657223099156E+07,1900,2,09,4vesta
2.402244596099769E+08,2.957471609922512E+08,-3.846050924856527E+07,1900,2,10,4vesta
2.390709621439580E+08,2.967694673078452E+08,-3.835376256392349E+07,1900,2,11,4vesta
2.379132225720696E+08,2.977865153723121E+08,-3.824633438263334E+07,1900,2,12,4vesta
2.367512633402815E+08,2.987982894745234E+08,-3.813822691749248E+07,1900,2,13,4vesta
2.355851069315542E+08,2.998047739884940E+08,-3.802944238850164E+07,1900,2,14,4vesta
2.344147758656379E+08,3.008059533732949E+08,-3.791998302283761E+07,1900,2,15,4vesta
2.332402926988727E+08,3.018018121729668E+08,-3.780985105482614E+07,1900,2,16,4vesta
2.320616800239921E+08,3.027923350164329E+08,-3.769904872591534E+07,1900,2,17,4vesta
2.308789604699264E+08,3.037775066174144E+08,-3.758757828464922E+07,1900,2,18,4vesta
2.296921567016100E+08,3.047573117743452E+08,-3.747544198664145E+07,1900,2,19,4vesta
2.285012914197886E+08,3.057317353702881E+08,-3.736264209454943E+07,1900,2,20,4vesta
2.273063873608295E+08,3.067007623728517E+08,-3.724918087804852E+07,1900,2,21,4vesta
2.261074672965330E+08,3.076643778341082E+08,-3.713506061380656E+07,1900,2,22,4vesta
2.249045540339458E+08,3.086225668905114E+08,-3.702028358545858E+07,1900,2,23,4vesta
2.236976704151763E+08,3.095753147628155E+08,-3.690485208358189E+07,1900,2,24,4vesta
2.224868393172116E+08,3.105226067559971E+08,-3.678876840567133E+07,1900,2,25,4vesta
2.212720836517356E+08,3.114644282591739E+08,-3.667203485611439E+07,1900,2,26,4vesta
2.200534263649499E+08,3.124007647455274E+08,-3.655465374616750E+07,1900,2,27,4vesta
2.188308904373961E+08,3.133316017722253E+08,-3.643662739393152E+07,1900,2,28,4vesta
2.176044988837788E+08,3.142569249803454E+08,-3.631795812432809E+07,1900,3,01,4vesta
2.163742747527914E+08,3.151767200947991E+08,-3.619864826907590E+07,1900,3,02,4vesta
2.151402411269432E+08,3.160909729242561E+08,-3.607870016666742E+07,1900,3,03,4vesta
2.139024211223879E+08,3.169996693610708E+08,-3.595811616234569E+07,1900,3,04,4vesta
2.126608378887534E+08,3.179027953812093E+08,-3.583689860808134E+07,1900,3,05,4vesta
2.114155146089739E+08,3.188003370441771E+08,-3.571504986254959E+07,1900,3,06,4vesta
2.101664744991226E+08,3.196922804929472E+08,-3.559257229110806E+07,1900,3,07,4vesta
2.089137408082467E+08,3.205786119538896E+08,-3.546946826577424E+07,1900,3,08,4vesta
2.076573368182037E+08,3.214593177367030E+08,-3.534574016520332E+07,1900,3,09,4vesta
2.063972858434986E+08,3.223343842343464E+08,-3.522139037466639E+07,1900,3,10,4vesta
2.051336112311237E+08,3.232037979229705E+08,-3.509642128602868E+07,1900,3,11,4vesta
2.038663363603995E+08,3.240675453618540E+08,-3.497083529772817E+07,1900,3,12,4vesta
2.025954846428164E+08,3.249256131933368E+08,-3.484463481475440E+07,1900,3,13,4vesta
2.013210795218792E+08,3.257779881427578E+08,-3.471782224862738E+07,1900,3,14,4vesta
2.000431444729528E+08,3.266246570183908E+08,-3.459040001737712E+07,1900,3,15,4vesta
1.987617030031089E+08,3.274656067113839E+08,-3.446237054552278E+07,1900,3,16,4vesta
1.974767786509742E+08,3.283008241956989E+08,-3.433373626405261E+07,1900,3,17,4vesta
1.961883949865813E+08,3.291302965280521E+08,-3.420449961040390E+07,1900,3,18,4vesta
1.948965756112198E+08,3.299540108478553E+08,-3.407466302844299E+07,1900,3,19,4vesta
1.936013441572894E+08,3.307719543771602E+08,-3.394422896844590E+07,1900,3,20,4vesta
1.923027242881546E+08,3.315841144206010E+08,-3.381319988707875E+07,1900,3,21,4vesta
1.910007396980001E+08,3.323904783653399E+08,-3.368157824737862E+07,1900,3,22,4vesta
