x,y,z,year,month,day,body
-2.158236576226222E+08,-3.335072835804672E+08,1.043205023112403E+08,1900,1,01,6hebe
-2.145175554332899E+08,-3.341114215648882E+08,1.042214020443875E+08,1900,1,02,6hebe
-2.132084001852271E+08,-3.347108011781872E+08,1.041208188656479E+08,1900,1,03,6hebe
-2.118962056493064E+08,-3.353054062592980E+08,1.040187518415487E+08,1900,1,04,6hebe
-2.105809856692070E+08,-3.358952206403855E+08,1.039152000496882E+08,1900,1,05,6hebe
-2.092627541618661E+08,-3.364802281469676E+08,1.038101625788371E+08,1900,1,06,6hebe
-2.079415251179325E+08,-3.370604125980393E+08,1.037036385290403E+08,1900,1,07,6hebe
-2.066173126022237E+08,-3.376357578062016E+08,1.035956270117197E+08,1900,1,08,6hebe
-2.052901307541844E+08,-3.382062475777922E+08,1.034861271497791E+08,1900,1,09,6hebe
-2.039599937883481E+08,-3.387718657130204E+08,1.033751380777087E+08,1900,1,10,6hebe
-2.026269159948018E+08,-3.393325960061058E+08,1.032626589416921E+08,1900,1,11,6hebe
-2.012909117396519E+08,-3.398884222454199E+08,1.031486888997136E+08,1900,1,12,6hebe
-1.999519954654932E+08,-3.404393282136313E+08,1.030332271216668E+08,1900,1,13,6hebe
-1.986101816918814E+08,-3.409852976878548E+08,1.029162727894647E+08,1900,1,14,6hebe
-1.972654850158063E+08,-3.415263144398038E+08,1.027978250971501E+08,1900,1,15,6hebe
-1.959179201121690E+08,-3.420623622359471E+08,1.026778832510085E+08,1900,1,16,6hebe
-1.945675017342608E+08,-3.425934248376679E+08,1.025564464696806E+08,1900,1,17,6hebe
-1.932142447142453E+08,-3.431194860014279E+08,1.024335139842773E+08,1900,1,18,6hebe
-1.918581639636419E+08,-3.436405294789356E+08,1.023090850384950E+08,1900,1,19,6hebe
-1.904992744738134E+08,-3.441565390173160E+08,1.021831588887326E+08,1900,1,20,6hebe
-1.891375913164543E+08,-3.446674983592876E+08,1.020557348042096E+08,1900,1,21,6hebe
-1.877731296440834E+08,-3.451733912433405E+08,1.019268120670849E+08,1900,1,22,6hebe
-1.864059046905375E+08,-3.456742014039198E+08,1.017963899725779E+08,1900,1,23,6hebe
-1.850359317714682E+08,-3.461699125716133E+08,1.016644678290898E+08,1900,1,24,6hebe
-1.836632262848416E+08,-3.466605084733424E+08,1.015310449583265E+08,1900,1,25,6hebe
-1.822878037114395E+08,-3.471459728325572E+08,1.013961206954230E+08,1900,1,26,6hebe
-1.809096796153641E+08,-3.476262893694372E+08,1.012596943890686E+08,1900,1,27,6hebe
-1.795288696445445E+08,-3.481014418010942E+08,1.011217654016340E+08,1900,1,28,6hebe
-1.781453895312461E+08,-3.485714138417810E+08,1.009823331092989E+08,1900,1,29,6hebe
-1.767592550925825E+08,-3.490361892031039E+08,1.008413969021815E+08,1900,1,30,6hebe
-1.753704822310294E+08,-3.494957515942392E+08,1.006989561844690E+08,1900,1,31,6hebe
-1.739790869349416E+08,-3.499500847221548E+08,1.005550103745497E+08,1900,2,01,6hebe
-1.725850852790723E+08,-3.503991722918363E+08,1.004095589051460E+08,1900,2,02,6hebe
-1.711884934250945E+08,-3.508429980065168E+08,1.002626012234491E+08,1900,2,03,6hebe
-1.697893276221254E+08,-3.512815455679123E+08,1.001141367912548E+08,1900,2,04,6hebe
-1.683876042072531E+08,-3.517147986764610E+08,9.996416508510095E+07,1900,2,05,6hebe
-1.669833396060653E+08,-3.521427410315681E+08,9.981268559640589E+07,1900,2,06,6hebe
-1.655765503331815E+08,-3.525653563318538E+08,9.965969783160844E+07,1900,2,07,6hebe
-1.641672529927864E+08,-3.529826282754086E+08,9.950520131230944E+07,1900,2,08,6hebe
-1.627554642791666E+08,-3.533945405600510E+08,9.934919557541436E+07,1900,2,09,6hebe
-1.613412009772496E+08,-3.538010768835912E+08,9.919168017327750E+07,1900,2,10,6hebe
-1.599244799631446E+08,-3.542022209441004E+08,9.903265467384772E+07,1900,2,11,6hebe
-1.585053182046870E+08,-3.545979564401835E+08,9.887211866081519E+07,1900,2,12,6hebe
-1.570837327619837E+08,-3.549882670712587E+08,9.871007173376006E+07,1900,2,13,6hebe
-1.556597407879623E+08,-3.553731365378410E+08,9.854651350830221E+07,1900,2,14,6hebe
-1.542333595289214E+08,-3.557525485418310E+08,9.838144361625263E+07,1900,2,15,6hebe
-1.528046063250840E+08,-3.561264867868099E+08,9.821486170576626E+07,1900,2,16,6hebe
-1.513734986111537E+08,-3.564949349783385E+08,9.804676744149616E+07,1900,2,17,6hebe
-1.499400539168719E+08,-3.568578768242627E+08,9.787716050474927E+07,1900,2,18,6hebe
-1.485042898675784E+08,-3.572152960350239E+08,9.770604059364384E+07,1900,2,19,6hebe
-1.470662241847742E+08,-3.575671763239751E+08,9.753340742326804E+07,1900,2,20,6hebe
-1.456258746866860E+08,-3.579135014077017E+08,9.735926072584009E+07,1900,2,21,6hebe
-1.441832592888343E+08,-3.582542550063497E+08,9.718360025087041E+07,1900,2,22,6hebe
-1.427383960046017E+08,-3.585894208439576E+08,9.700642576532455E+07,1900,2,23,6hebe
-1.412913029458058E+08,-3.589189826487968E+08,9.682773705378829E+07,1900,2,24,6hebe
-1.398419983232723E+08,-3.592429241537131E+08,9.664753391863407E+07,1900,2,25,6hebe
-1.383905004474123E+08,-3.595612290964798E+08,9.646581618018898E+07,1900,2,26,6hebe
-1.369368277287997E+08,-3.598738812201523E+08,9.628258367690402E+07,1900,2,27,6hebe
-1.354809986787526E+08,-3.601808642734311E+08,9.609783626552564E+07,1900,2,28,6hebe
-1.340230319099156E+08,-3.604821620110291E+08,9.591157382126823E+07,1900,3,01,6hebe
-1.325629461368456E+08,-3.607777581940469E+08,9.572379623798850E+07,1900,3,02,6hebe
-1.311007601765978E+08,-3.610676365903535E+08,9.553450342836145E+07,1900,3,03,6hebe
-1.296364929493158E+08,-3.613517809749728E+08,9.534369532405765E+07,1900,3,04,6hebe
-1.281701634788226E+08,-3.616301751304762E+08,9.515137187592278E+07,1900,3,05,6hebe
-1.267017908932139E+08,-3.619028028473828E+08,9.495753305415818E+07,1900,3,06,6hebe
-1.252313944254536E+08,-3.621696479245651E+08,9.476217884850338E+07,1900,3,07,6hebe
-1.237589934139709E+08,-3.624306941696623E+08,9.456530926841995E+07,1900,3,08,6hebe
-1.222846073032597E+08,-3.626859253994985E+08,9.436692434327756E+07,1900,3,09,6hebe
-1.208082556444806E+08,-3.629353254405084E+08,9.416702412254140E+07,1900,3,10,6hebe
-1.193299580960627E+08,-3.631788781291710E+08,9.396560867596079E+07,1900,3,11,6hebe
-1.178497344243098E+08,-3.634165673124479E+08,9.376267809376061E+07,1900,3,12,6hebe
-1.163676045040071E+08,-3.636483768482305E+08,9.355823248683348E+07,1900,3,13,6hebe
-1.148835883190298E+08,-3.638742906057922E+08,9.335227198693390E+07,1900,3,14,6hebe
-1.133977059629535E+08,-3.640942924662497E+08,9.314479674687454E+07,1900,3,15,6hebe
-1.119099776396670E+08,-3.643083663230305E+08,9.293580694072357E+07,1900,3,16,6hebe
-1.104204236639860E+08,-3.645164960823472E+08,9.272530276400432E+07,1900,3,17,6hebe
-1.089290644622692E+08,-3.647186656636794E+08,9.251328443389660E+07,1900,3,18,6hebe
-1.074359205730352E+08,-3.649148590002642E+08,9.229975218943945E+07,1900,3,19,6hebe
-1.059410126475823E+08,-3.651050600395919E+08,9.208470629173622E+07,1900,3,20,6hebe
-1.044443614506088E+08,-3.652892527439106E+08,9.186814702416076E+07,1900,3,21,6hebe
-1.029459878608353E+08,-3.654674210907389E+08,9.165007469256632E+07,1900,3,22,6hebe
-1.014459128716287E+08,-3.656395490733851E+08,9.143048962549543E+07,1900,3,23,6hebe
-9.994415759162728E+07,-3.658056207014750E+08,9.120939217439204E+07,1900,3,24,6hebe
-9.844074324536751E+07,-3.659656200014866E+08,9.098678271381541E+07,1900,3,25,6hebe
-9.693569117391245E+07,-3.661195310172943E+08,9.076266164165583E+07,1900,3,26,6hebe
-9.542902283548096E+07,-3.662673378107196E+08,9.053702937935226E+07,1900,3,27,6hebe
-9.392075980607884E+07,-3.664090244620905E+08,9.030988637211168E+07,1900,3,28,6hebe
-9.241092378013092E+07,-3.665445750708095E+08,9.008123308913064E+07,1900,3,29,6hebe
-9.089953657111439E+07,-3.666739737559290E+08,8.985107002381822E+07,1900,3,30,6hebe
-8.938662011219348E+07,-3.667972046567358E+08,8.961939769402137E+07,1900,3,31,6hebe
