x,y,z,year,month,day,body
1.995640170351655E+08,1.931456754873652E+08,-2.640631691843682E+07,1900,1,01,8flora
1.981839306492459E+08,1.946334851826650E+08,-2.633136197116793E+07,1900,1,02,8flora
1.967947288531551E+08,1.961123649675285E+08,-2.625519375577243E+07,1900,1,03,8flora
1.953964798357269E+08,1.975822508530608E+08,-2.617781634294071E+07,1900,1,04,8flora
1.939892523331497E+08,1.990430795193058E+08,-2.609923388129757E+07,1900,1,05,8flora
1.925731156204518E+08,2.004947883211798E+08,-2.601945059681532E+07,1900,1,06,8flora
1.911481395029079E+08,2.019373152942676E+08,-2.593847079221386E+07,1900,1,07,8flora
1.897143943073691E+08,2.033705991604790E+08,-2.585629884634838E+07,1900,1,08,8flora
1.882719508735190E+08,2.047945793335655E+08,-2.577293921358445E+07,1900,1,09,8flora
1.868208805450587E+08,2.062091959244947E+08,-2.568839642316089E+07,1900,1,10,8flora
1.853612551608244E+08,2.076143897466835E+08,-2.560267507854098E+07,1900,1,11,8flora
1.838931470458380E+08,2.090101023210858E+08,-2.551577985675138E+07,1900,1,12,8flora
1.824166290022969E+08,2.103962758811378E+08,-2.542771550771003E+07,1900,1,13,8flora
1.809317743005027E+08,2.117728533775564E+08,-2.533848685354264E+07,1900,1,14,8flora
1.794386566697329E+08,2.131397784829923E+08,-2.524809878788790E+07,1900,1,15,8flora
1.779373502890592E+08,2.144969955965358E+08,-2.515655627519223E+07,1900,1,16,8flora
1.764279297781137E+08,2.158444498480757E+08,-2.506386434999382E+07,1900,1,17,8flora
1.749104701878067E+08,2.171820871025085E+08,-2.497002811619635E+07,1900,1,18,8flora
1.733850469909992E+08,2.185098539638011E+08,-2.487505274633273E+07,1900,1,19,8flora
1.718517360731326E+08,2.198276977789021E+08,-2.477894348081906E+07,1900,1,20,8flora
1.703106137228175E+08,2.211355666415049E+08,-2.468170562719895E+07,1900,1,21,8flora
1.687617566223868E+08,2.224334093956604E+08,-2.458334455937868E+07,1900,1,22,8flora
1.672052418384138E+08,2.237211756392389E+08,-2.448386571685340E+07,1900,1,23,8flora
1.656411468121991E+08,2.249988157272424E+08,-2.438327460392442E+07,1900,1,24,8flora
1.640695493502288E+08,2.262662807749654E+08,-2.428157678890806E+07,1900,1,25,8flora
1.624905276146078E+08,2.275235226610052E+08,-2.417877790333659E+07,1900,1,26,8flora
1.609041601134689E+08,2.287704940301214E+08,-2.407488364115073E+07,1900,1,27,8flora
