x,y,z,year,month,day,body
-2.897775951745683E+07,1.450678485821868E+08,1.656465012631565E+04,1900,1,01,earth
-3.153898600753607E+07,1.445209819147929E+08,1.631790282234550E+04,1900,1,02,earth
-3.409016214233934E+07,1.439291664459739E+08,1.607248021892458E+04,1900,1,03,earth
-3.663043015761497E+07,1.432926147768180E+08,1.583391064652801E+04,1900,1,04,earth
-3.915894586539969E+07,1.426115714677508E+08,1.560656927900761E+04,1900,1,05,earth
-4.167488411290938E+07,1.418863085457528E+08,1.539326751290262E+04,1900,1,06,earth
-4.417744190074777E+07,1.411171195433808E+08,1.519507583774626E+04,1900,1,07,earth
-4.666583900141789E+07,1.403043134095756E+08,1.501137634225190E+04,1900,1,08,earth
-4.913931661778650E+07,1.394482093112844E+08,1.484008171017468E+04,1900,1,09,earth
-5.159713488990656E+07,1.385491327751918E+08,1.467794081294537E+04,1900,1,10,earth
-5.403856994951083E+07,1.376074131478055E+08,1.452086732522398E+04,1900,1,11,earth
-5.646291095512220E+07,1.366233821267225E+08,1.436425509590656E+04,1900,1,12,earth
-5.886945730415072E+07,1.355973730963784E+08,1.420326581510156E+04,1900,1,13,earth
-6.125751608853456E+07,1.345297210775190E+08,1.403308533111215E+04,1900,1,14,earth
-6.362639982740230E+07,1.334207631776285E+08,1.384914697679877E+04,1900,1,15,earth
-6.597542452584963E+07,1.322708394637586E+08,1.364731845286489E+04,1900,1,16,earth
-6.830390812447311E+07,1.310802941672328E+08,1.342404763775319E+04,1900,1,17,earth
-7.061116939050461E+07,1.298494770957370E+08,1.317646446435899E+04,1900,1,18,earth
-7.289652725439091E+07,1.285787451033836E+08,1.290244062995911E+04,1900,1,19,earth
-7.515930053133188E+07,1.272684634751438E+08,1.260061464481801E+04,1900,1,20,earth
-7.739880790861380E+07,1.259190071235702E+08,1.227039442346245E+04,1900,1,21,earth
-7.961436804479484E+07,1.245307615641578E+08,1.191195176156610E+04,1900,1,22,earth
-8.180529962454098E+07,1.231041237170182E+08,1.152622204677016E+04,1900,1,23,earth
-8.397092124525495E+07,1.216395026650333E+08,1.111491842073202E+04,1900,1,24,earth
-8.611055108102800E+07,1.201373205737813E+08,1.068056226698309E+04,1900,1,25,earth
-8.822350638389933E+07,1.185980140343764E+08,1.022652084949613E+04,1900,1,26,earth
-9.030910305162261E+07,1.170220360992869E+08,9.757027735084295E+03,1900,1,27,earth
-9.236665570840165E+07,1.154098591894743E+08,9.277143749840558E+03,1900,1,28,earth
-9.439547895009494E+07,1.137619787875959E+08,8.792602083764970E+03,1900,1,29,earth
-9.639489044924723E+07,1.120789173639484E+08,8.309484487652779E+03,1900,1,30,earth
-9.836421628941463E+07,1.103612274255552E+08,7.833713012605906E+03,1900,1,31,earth
-1.003027981054149E+08,1.086094922766827E+08,7.370416779667139E+03,1900,2,01,earth
-1.022100006130103E+08,1.068243234511500E+08,6.923315694615245E+03,1900,2,02,earth
-1.040852175614253E+08,1.050063548937088E+08,6.494294644713402E+03,1900,2,03,earth
-1.059278745647534E+08,1.031562352557889E+08,6.083284324087203E+03,1900,2,04,earth
-1.077374284845046E+08,1.012746202851296E+08,5.688447326928377E+03,1900,2,05,earth
-1.095133642424833E+08,9.936216689452842E+07,5.306566951453686E+03,1900,2,06,earth
-1.112551904637644E+08,9.741952952521716E+07,4.933504748791456E+03,1900,2,07,earth
-1.129624351407514E+08,9.544735855625609E+07,4.564624621883035E+03,1900,2,08,earth
-1.146346419675704E+08,9.344630010793218E+07,4.195135551899672E+03,1900,2,09,earth
-1.162713675041380E+08,9.141699659411991E+07,3.820348436288536E+03,1900,2,10,earth
-1.178721790504926E+08,8.936008758051938E+07,3.435864189155400E+03,1900,2,11,earth
-1.194366530271909E+08,8.727621072615112E+07,3.037714426398277E+03,1900,2,12,earth
-1.209643736874777E+08,8.516600274185668E+07,2.622471044600010E+03,1900,2,13,earth
-1.224549320590639E+08,8.303010037675013E+07,2.187333473667502E+03,1900,2,14,earth
-1.239079250808722E+08,8.086914145796399E+07,1.730196243062615E+03,1900,2,15,earth
-1.253229549393845E+08,7.868376598713255E+07,1.249696426726878E+03,1900,2,16,earth
-1.266996286141607E+08,7.647461726573318E+07,7.452406257651746E+02,1900,2,17,earth
-1.280375576197526E+08,7.424234300251214E+07,2.170134250894189E+02,1900,2,18,earth
-1.293363578970995E+08,7.198759636270593E+07,-3.340278649106622E+02,1900,2,19,earth
-1.305956497798594E+08,6.971103695314872E+07,-9.061655561327934E+02,1900,2,20,earth
-1.318150579563299E+08,6.741333179326363E+07,-1.496934964034706E+03,1900,2,21,earth
-1.329942113780461E+08,6.509515638709792E+07,-2.103136586606503E+03,1900,2,22,earth
-1.341327431412268E+08,6.275719606880393E+07,-2.720852413784713E+03,1900,2,23,earth
-1.352302904933062E+08,6.040014781752652E+07,-3.345483069095761E+03,1900,2,24,earth
-1.362864952892925E+08,5.802472268623255E+07,-3.971836462583393E+03,1900,2,25,earth
-1.373010054040610E+08,5.563164880522724E+07,-4.594310855675489E+03,1900,2,26,earth
-1.382734776933562E+08,5.322167455936562E+07,-5.207215862713754E+03,1900,2,27,earth
-1.392035829110096E+08,5.079557104240760E+07,-5.805249415330589E+03,1900,2,28,earth
-1.400910123733414E+08,4.835413249958643E+07,-6.384087812233716E+03,1900,3,01,earth
-1.409354852018820E+08,4.589817359492140E+07,-6.940965184388682E+03,1900,3,02,earth
-1.417367541918556E+08,4.342852326587358E+07,-7.475068416502327E+03,1900,3,03,earth
-1.424946084497395E+08,4.094601634274096E+07,-7.987608819901943E+03,1900,3,04,earth
-1.432088721048476E+08,3.845148510917510E+07,-8.481551603712142E+03,1900,3,05,earth
-1.438793999234461E+08,3.594575283885296E+07,-8.961113675113767E+03,1900,3,06,earth
-1.445060715481591E+08,3.342963024797063E+07,-9.431197121720761E+03,1900,3,07,earth
-1.450887859830457E+08,3.090391459837028E+07,-9.896894058737904E+03,1900,3,08,earth
-1.456274572391711E+08,2.836939052989194E+07,-1.036312493983842E+04,1900,3,09,earth
-1.461220113306515E+08,2.582683166188262E+07,-1.083440885363892E+04,1900,3,10,earth
-1.465723843761435E+08,2.327700229707083E+07,-1.131473215170763E+04,1900,3,11,earth
-1.469785214225315E+08,2.072065890286077E+07,-1.180747624441423E+04,1900,3,12,earth
-1.473403756483337E+08,1.815855129741672E+07,-1.231537370306719E+04,1900,3,13,earth
-1.476579077137511E+08,1.559142360790493E+07,-1.284047395090293E+04,1900,3,14,earth
-1.479310851387300E+08,1.302001512065315E+07,-1.338411072872113E+04,1900,3,15,earth
-1.481598816820727E+08,1.044506113906760E+07,-1.394687136413762E+04,1900,3,16,earth
-1.483442767539952E+08,7.867293930136798E+06,-1.452857229951443E+04,1900,3,17,earth
-1.484842549200409E+08,5.287443794162235E+06,-1.512824659731472E+04,1900,3,18,earth
-1.485798055500418E+08,2.706240252048143E+06,-1.574414794726530E+04,1900,3,19,earth
-1.486309226423776E+08,1.244133237776958E+05,-1.637377324780414E+04,1900,3,20,earth
-1.486376048276478E+08,-2.457305122234312E+06,-1.701390371333354E+04,1900,3,21,earth
-1.485998555464162E+08,-5.038179939189305E+06,-1.766066428914643E+04,1900,3,22,earth
-1.485176834200821E+08,-7.617471141891790E+06,-1.830960411058320E+04,1900,3,23,earth
-1.483911029016187E+08,-1.019443214309521E+07,-1.895580707104830E+04,1900,3,24,earth
-1.482201353990665E+08,-1.276830773911788E+07,-1.959405004708003E+04,1900,3,25,earth
-1.480048111795321E+08,-1.533833191492962E+07,-2.021903346675728E+04,1900,3,26,earth
-1.477451724154337E+08,-1.790372577572482E+07,-2.082570802203845E+04,1900,3,27,earth
-1.474412776137007E+08,-2.046369624364355E+07,-2.140970313630905E+04,1900,3,28,earth
-1.470932072578857E+08,-2.301743644468417E+07,-2.196782067480125E+04,1900,3,29,earth
-1.467010698070592E+08,-2.556412867915003E+07,-2.249849893009104E+04,1900,3,30,earth
-1.462650065316560E+08,-2.810295026130447E+07,-2.300210883626714E+04,1900,3,31,earth
-1.457851935569918E+08,-3.063308140986614E+07,-2.348096069772169E+04,1900,4,01,earth
-1.452618402685944E+08,-3.315371336671039E+07,-2.393899079309590E+04,1900,4,02,earth
-1.446951845812502E+08,-3.566405475002284E+07,-2.438121759242751E+04,1900,4,03,earth
-1.440854866368611E+08,-3.816333497118191E+07,-2.481312999992445E+04,1900,4,04,earth
-1.434330226673520E+08,-4.065080476310536E+07,-2.524015651374124E+04,1900,4,05,earth
-1.427380801595748E+08,-4.312573472330309E+07,-2.566729260783829E+04,1900,4,06,earth
-1.420009546508501E+08,-4.558741297373331E+07,-2.609888926486112E+04,1900,4,07,earth
-1.412219479112411E+08,-4.803514277510668E+07,-2.653856231258065E+04,1900,4,08,earth
-1.404013670415854E+08,-5.046824053396790E+07,-2.698917188425735E+04,1900,4,09,earth
-1.395395240321054E+08,-5.288603431505540E+07,-2.745283025141805E+04,1900,4,10,earth
-1.386367354482456E+08,-5.528786277618708E+07,-2.793091134026647E+04,1900,4,11,earth
-1.376933220502855E+08,-5.767307435553087E+07,-2.842404937763140E+04,1900,4,12,earth
-1.367096082749475E+08,-6.004102652266313E+07,-2.893212507380173E+04,1900,4,13,earth
-1.356859216022545E+08,-6.239108492690014E+07,-2.945424546403065E+04,1900,4,14,earth
-1.346225918988711E+08,-6.472262232364935E+07,-2.998872828726098E+04,1900,4,15,earth
-1.335199508685042E+08,-6.703501722219600E+07,-3.053310366591066E+04,1900,4,16,earth
-1.323783317482094E+08,-6.932765226547824E+07,-3.108414490629733E+04,1900,4,17,earth
-1.311980693683722E+08,-7.159991240961704E+07,-3.163793697370589E+04,1900,4,18,earth
-1.299795006545752E+08,-7.385118300453444E+07,-3.218998689813539E+04,1900,4,19,earth
-1.287229656111454E+08,-7.608084788205467E+07,-3.273537687150761E+04,1900,4,20,earth
-1.274288088097657E+08,-7.828828754533644E+07,-3.326895964096114E+04,1900,4,21,earth
-1.260973814215447E+08,-8.047287755007815E+07,-3.378559712432697E+04,1900,4,22,earth
-1.247290438632842E+08,-8.263398720687845E+07,-3.428044488663971E+04,1900,4,23,earth
-1.233241691346626E+08,-8.477097883660743E+07,-3.474928286679834E+04,1900,4,24,earth
-1.218831468362557E+08,-8.688320796003085E+07,-3.518888117679581E+04,1900,4,25,earth
-1.204063876201736E+08,-8.897002491914274E+07,-3.559736591421813E+04,1900,4,26,earth
