x,y,z,year,month,day,body
1.884167443291046E+08,1.664841276349515E+08,-4.414852582599565E+06,1900,1,01,itokawa
1.873789333043559E+08,1.678303694880547E+08,-4.372607612004951E+06,1900,1,02,itokawa
1.863293559779531E+08,1.691661055237860E+08,-4.330088337261386E+06,1900,1,03,itokawa
1.852680940444340E+08,1.704912658890365E+08,-4.287297797715113E+06,1900,1,04,itokawa
1.841952291283424E+08,1.718057810452285E+08,-4.244239028083868E+06,1900,1,05,itokawa
1.831108427900135E+08,1.731095817593890E+08,-4.200915058703877E+06,1900,1,06,itokawa
1.820150165314294E+08,1.744025990953625E+08,-4.157328915777653E+06,1900,1,07,itokawa
1.809078318021433E+08,1.756847644051619E+08,-4.113483621622972E+06,1900,1,08,itokawa
1.797893700052742E+08,1.769560093204564E+08,-4.069382194922745E+06,1900,1,09,itokawa
1.786597125035700E+08,1.782162657441928E+08,-4.025027650975943E+06,1900,1,10,itokawa
1.775189406255405E+08,1.794654658423490E+08,-3.980423001949698E+06,1900,1,11,itokawa
1.763671356716593E+08,1.807035420358174E+08,-3.935571257132329E+06,1900,1,12,itokawa
1.752043789206355E+08,1.819304269924167E+08,-3.890475423187353E+06,1900,1,13,itokawa
1.740307516357549E+08,1.831460536190297E+08,-3.845138504408933E+06,1900,1,14,itokawa
1.728463350712907E+08,1.843503550538655E+08,-3.799563502978116E+06,1900,1,15,itokawa
1.716512104789846E+08,1.855432646588450E+08,-3.753753419220462E+06,1900,1,16,itokawa
1.704454591145986E+08,1.867247160121070E+08,-3.707711251864612E+06,1900,1,17,itokawa
1.692291622445365E+08,1.878946429006337E+08,-3.661439998302311E+06,1900,1,18,itokawa
1.680024011525380E+08,1.890529793129947E+08,-3.614942654849209E+06,1900,1,19,itokawa
1.667652571464435E+08,1.901996594322069E+08,-3.568222217007592E+06,1900,1,20,itokawa
1.655178115650316E+08,1.913346176287094E+08,-3.521281679729708E+06,1900,1,21,itokawa
1.642601457849298E+08,1.924577884534526E+08,-3.474124037682667E+06,1900,1,22,itokawa
1.629923412275977E+08,1.935691066310990E+08,-3.426752285514951E+06,1900,1,23,itokawa
1.617144793663858E+08,1.946685070533351E+08,-3.379169418123692E+06,1900,1,24,itokawa
1.604266417336683E+08,1.957559247722934E+08,-3.331378430923820E+06,1900,1,25,itokawa
1.591289099280523E+08,1.968312949940827E+08,-3.283382320118606E+06,1900,1,26,itokawa
1.578213656216629E+08,1.978945530724263E+08,-3.235184082971320E+06,1900,1,27,itokawa
1.565040905675075E+08,1.989456345024064E+08,-3.186786718078867E+06,1900,1,28,itokawa
1.551771666069163E+08,1.999844749143138E+08,-3.138193225646675E+06,1900,1,29,itokawa
1.538406756770652E+08,2.010110100676025E+08,-3.089406607765198E+06,1900,1,30,itokawa
1.524946998185764E+08,2.020251758449477E+08,-3.040429868688092E+06,1900,1,31,itokawa
1.511393211832033E+08,2.030269082464063E+08,-2.991266015112251E+06,1900,2,01,itokawa
1.497746220415965E+08,2.040161433836798E+08,-2.941918056459084E+06,1900,2,02,itokawa
1.484006847911544E+08,2.049928174744775E+08,-2.892389005158067E+06,1900,2,03,itokawa
1.470175919639595E+08,2.059568668369811E+08,-2.842681876931801E+06,1900,2,04,itokawa
1.456254262348005E+08,2.069082278844081E+08,-2.792799691083059E+06,1900,2,05,itokawa
1.442242704292822E+08,2.078468371196751E+08,-2.742745470783651E+06,1900,2,06,itokawa
1.428142075320256E+08,2.087726311301589E+08,-2.692522243365228E+06,1900,2,07,itokawa
1.413953206949567E+08,2.096855465825563E+08,-2.642133040612280E+06,1900,2,08,itokawa
1.399676932456883E+08,2.105855202178406E+08,-2.591580899056956E+06,1900,2,09,itokawa
1.385314086959953E+08,2.114724888463166E+08,-2.540868860275999E+06,1900,2,10,itokawa
1.370865507503831E+08,2.123463893427709E+08,-2.489999971190035E+06,1900,2,11,itokawa
1.356332033147538E+08,2.132071586417199E+08,-2.438977284364864E+06,1900,2,12,itokawa
1.341714505051693E+08,2.140547337327539E+08,-2.387803858314976E+06,1900,2,13,itokawa
1.327013766567130E+08,2.148890516559773E+08,-2.336482757809475E+06,1900,2,14,itokawa
1.312230663324533E+08,2.157100494975455E+08,-2.285017054180279E+06,1900,2,15,itokawa
1.297366043325084E+08,2.165176643852978E+08,-2.233409825632676E+06,1900,2,16,itokawa
1.282420757032156E+08,2.173118334844874E+08,-2.181664157558307E+06,1900,2,17,itokawa
1.267395657464059E+08,2.180924939936072E+08,-2.129783142850667E+06,1900,2,18,itokawa
1.252291600287864E+08,2.188595831403143E+08,-2.077769882223040E+06,1900,2,19,itokawa
1.237109443914311E+08,2.196130381774505E+08,-2.025627484529063E+06,1900,2,20,itokawa
1.221850049593834E+08,2.203527963791628E+08,-1.973359067085803E+06,1900,2,21,itokawa
1.206514281513715E+08,2.210787950371210E+08,-1.920967755999699E+06,1900,2,22,itokawa
1.191103006896384E+08,2.217909714568365E+08,-1.868456686494932E+06,1900,2,23,itokawa
