x,y,z,date,body
2.754484358873947E+08,-1.977422759558594E+08,-2.722819399171373E+07,1950-Jan-01,4vesta
3.064837519273593E+08,-1.545327890179007E+08,-3.233683956547406E+07,1950-Feb-01,4vesta
3.284260750373719E+08,-1.123834271201307E+08,-3.630958863207597E+07,1950-Mar-01,4vesta
3.457339190040862E+08,-6.335336974790068E+07,-3.993432334604208E+07,1950-Apr-01,4vesta
3.554186941200802E+08,-1.458806853647286E+07,-4.262630068685856E+07,1950-May-01,4vesta
3.581989051745996E+08,3.609782902014026E+07,-4.454072524749629E+07,1950-Jun-01,4vesta
3.540918394642118E+08,8.448203908408211E+07,-4.554836308361962E+07,1950-Jul-01,4vesta
3.431393498888858E+08,1.328753224687658E+08,-4.572625825780158E+07,1950-Aug-01,4vesta
3.257817901415709E+08,1.787949531206086E+08,-4.505060481499650E+07,1950-Sep-01,4vesta
3.033503595455834E+08,2.201570634474819E+08,-4.361801146521996E+07,1950-Oct-01,4vesta
2.748897607401252E+08,2.590584773637245E+08,-4.137794804525314E+07,1950-Nov-01,4vesta
2.427994317113631E+08,2.924347772492613E+08,-3.852600740091224E+07,1950-Dec-01,4vesta
2.055680998992494E+08,3.220099113564491E+08,-3.493265344303367E+07,1951-Jan-01,4vesta
1.648709519888040E+08,3.461587956058951E+08,-3.075044975418064E+07,1951-Feb-01,4vesta
1.257222495475385E+08,3.630050742432898E+08,-2.652888721859874E+07,1951-Mar-01,4vesta
8.040813230033724E+07,3.758921597474988E+08,-2.143692553086418E+07,1951-Apr-01,4vesta
3.527195198870178E+07,3.823984149947808E+08,-1.616819578289118E+07,1951-May-01,4vesta
-1.194089138753363E+07,3.828174922010865E+08,-1.045857149103069E+07,1951-Jun-01,4vesta
-5.744531590679654E+07,3.770595804141178E+08,-4.764072140300468E+06,1951-Jul-01,4vesta
-1.034875974801831E+08,3.647533295908299E+08,1.199091077022254E+06,1951-Aug-01,4vesta
-1.477222535299774E+08,3.460843232929057E+08,7.140836734466299E+06,1951-Sep-01,4vesta
-1.880277845969851E+08,3.221390791993775E+08,1.277024315561479E+07,1951-Oct-01,4vesta
-2.262827432092762E+08,2.916047542698507E+08,1.835578524156708E+07,1951-Nov-01,4vesta
-2.592522785244987E+08,2.568236057280829E+08,2.343258557207319E+07,1951-Dec-01,4vesta
-2.883526631361231E+08,2.159800702866830E+08,2.822870761192054E+07,1952-Jan-01,4vesta
-3.116449599222031E+08,1.707902374803451E+08,3.245581306971607E+07,1952-Feb-01,4vesta
-3.275469702323241E+08,1.252684772088054E+08,3.579741671845861E+07,1952-Mar-01,4vesta
-3.376568676494879E+08,7.400021875535589E+07,3.861543657770505E+07,1952-Apr-01,4vesta
-3.401861918085442E+08,2.278569227453895E+07,4.051292078288575E+07,1952-May-01,4vesta
-3.349409264959099E+08,-3.064753066682579E+07,4.153695700278489E+07,1952-Jun-01,4vesta
-3.220817946007197E+08,-8.165767202582867E+07,4.156285629834490E+07,1952-Jul-01,4vesta
-3.007775205231901E+08,-1.323208804767071E+08,4.055437735687335E+07,1952-Aug-01,4vesta
-2.715991226117992E+08,-1.795213907913340E+08,3.848397742917445E+07,1952-Sep-01,4vesta
-2.363784850739579E+08,-2.206051678196915E+08,3.549128175165043E+07,1952-Oct-01,4vesta
-1.935673187620259E+08,-2.570537600581274E+08,3.143469511150894E+07,1952-Nov-01,4vesta
-1.469353586945334E+08,-2.854553610031638E+08,2.666518118811402E+07,1952-Dec-01,4vesta
-9.464489767663905E+07,-3.068097336380373E+08,2.099111934434284E+07,1953-Jan-01,4vesta
-3.964303798000832E+07,-3.194045788591089E+08,1.471656141028601E+07,1953-Feb-01,4vesta
1.105837506949107E+07,-3.229719215463774E+08,8.682985265510604E+06,1953-Mar-01,4vesta
6.685641197142907E+07,-3.182618579776232E+08,1.774937490261495E+06,1953-Apr-01,4vesta
1.191162284842750E+08,-3.053053331723767E+08,-4.960146395417869E+06,1953-May-01,4vesta
1.699408727377054E+08,-2.837915189865664E+08,-1.178670440456131E+07,1953-Jun-01,4vesta
2.148914580994520E+08,-2.558557740552223E+08,-1.810050869303124E+07,1953-Jul-01,4vesta
2.559557859807608E+08,-2.205896175102938E+08,-2.417056405373299E+07,1953-Aug-01,4vesta
2.907458239812153E+08,-1.799084971998775E+08,-2.964800313245066E+07,1953-Sep-01,4vesta
3.178887593616334E+08,-1.364829395870730E+08,-3.428360480726808E+07,1953-Oct-01,4vesta
3.388347920044603E+08,-8.857248489938547E+07,-3.830701354624119E+07,1953-Nov-01,4vesta
3.520700902258349E+08,-4.035646706172420E+07,-4.140517963369827E+07,1953-Dec-01,4vesta
3.584742317695972E+08,1.028729517704053E+07,-4.375041150809331E+07,1954-Jan-01,4vesta
3.576307073685278E+08,6.072002117452046E+07,-4.521040884104922E+07,1954-Feb-01,4vesta
3.508615690770950E+08,1.052753120173763E+08,-4.576987513840745E+07,1954-Mar-01,4vesta
3.370561076827306E+08,1.526744675092879E+08,-4.556424777401239E+07,1954-Apr-01,4vesta
3.177931372311690E+08,1.958735162157511E+08,-4.456670205944116E+07,1954-May-01,4vesta
2.922939153905762E+08,2.370442911512169E+08,-4.275003794699882E+07,1954-Jun-01,4vesta
2.627396433578748E+08,2.729313616365525E+08,-4.027785648790170E+07,1954-Jul-01,4vesta
2.277647734254017E+08,3.053806409755102E+08,-3.704170282175384E+07,1954-Aug-01,4vesta
1.889343611096770E+08,3.326430211103100E+08,-3.317713790631339E+07,1954-Sep-01,4vesta
1.483372255848676E+08,3.537051657028527E+08,-2.890606083390246E+07,1954-Oct-01,4vesta
1.039675228403608E+08,3.696494368661284E+08,-2.401870390120542E+07,1954-Nov-01,4vesta
5.938127023577837E+07,3.792078440837101E+08,-1.890704469960065E+07,1954-Dec-01,4vesta
1.235180178866274E+07,3.828397125733233E+08,-1.331522501550826E+07,1955-Jan-01,4vesta
-3.487280759668576E+07,3.800188275417845E+08,-7.499595050527871E+06,1955-Feb-01,4vesta
-7.702707543561007E+07,3.719006506612647E+08,-2.134668729608193E+06,1955-Mar-01,4vesta
-1.223914067038172E+08,3.567949859288077E+08,3.836356534327179E+06,1955-Apr-01,4vesta
-1.642311364608528E+08,3.361841852945815E+08,9.550619450671718E+06,1955-May-01,4vesta
-2.045254113666871E+08,3.089234320539268E+08,1.528369833743253E+07,1955-Jun-01,4vesta
