x,y,z,date,body
-3.460500778620491E+08,8.482628107076915E+07,3.002093751680564E+07,1950-Jan-01,8flora
-3.600800716156229E+08,3.814176010104316E+07,3.312336825586282E+07,1950-Feb-01,8flora
-3.666266715616068E+08,-4.700175236316722E+06,3.536327780303466E+07,1950-Mar-01,8flora
-3.672435500188887E+08,-5.201896054124036E+07,3.720268635356071E+07,1950-Apr-01,8flora
-3.614199260109656E+08,-9.690996968991920E+07,3.833278738029642E+07,1950-May-01,8flora
-3.490534729141294E+08,-1.415845782881714E+08,3.882692681753381E+07,1950-Jun-01,8flora
-3.312637681271842E+08,-1.824635668150057E+08,3.865784746577381E+07,1950-Jul-01,8flora
-3.072468703418106E+08,-2.215896935760759E+08,3.782523138108575E+07,1950-Aug-01,8flora
-2.779376771270542E+08,-2.568956339578748E+08,3.634098358330610E+07,1950-Sep-01,8flora
-2.449935140759192E+08,-2.868359335007059E+08,3.430597652505782E+07,1950-Oct-01,8flora
-2.067430659488030E+08,-3.128284867270933E+08,3.161314433403254E+07,1950-Nov-01,8flora
-1.662112709570679E+08,-3.326712042534430E+08,2.846990550628650E+07,1950-Dec-01,8flora
-1.213436243835781E+08,-3.471693447076789E+08,2.470936356684001E+07,1951-Jan-01,8flora
-7.417818869568220E+07,-3.550737895914912E+08,2.048008829573648E+07,1951-Feb-01,8flora
-3.029440458020063E+07,-3.561723446383154E+08,1.630957550085407E+07,1951-Mar-01,8flora
1.885139211148145E+07,-3.503427452380991E+08,1.137320376014604E+07,1951-Apr-01,8flora
6.601855824493717E+07,-3.373721010384520E+08,6.357884241870373E+06,1951-May-01,8flora
1.132134461500489E+08,-3.162062349394573E+08,1.031349424957678E+06,1951-Jun-01,8flora
1.561816850852119E+08,-2.881732514100211E+08,-4.148085192877933E+06,1951-Jul-01,8flora
1.964049358078347E+08,-2.515668389287806E+08,-9.386875461553946E+06,1951-Aug-01,8flora
2.308788041799622E+08,-2.076310571409505E+08,-1.434982627272658E+07,1951-Sep-01,8flora
2.572899274902939E+08,-1.588676829980907E+08,-1.872070254523561E+07,1951-Oct-01,8flora
2.759111647239701E+08,-1.031800328049934E+08,-2.260462088096491E+07,1951-Nov-01,8flora
2.842707733497303E+08,-4.568063185614888E+07,-2.557183590997919E+07,1951-Dec-01,8flora
2.819178429459333E+08,1.544822637295913E+07,-2.764747819522629E+07,1952-Jan-01,8flora
2.678722399196947E+08,7.590949329545514E+07,-2.857566429897877E+07,1952-Feb-01,8flora
2.442569841667421E+08,1.295356975606948E+08,-2.832796025237642E+07,1952-Mar-01,8flora
2.086268233264787E+08,1.812705059281296E+08,-2.685579988986924E+07,1952-Apr-01,8flora
1.653572371193960E+08,2.237287859083567E+08,-2.430114941000110E+07,1952-May-01,8flora
1.136045023908640E+08,2.580306555426075E+08,-2.062524009524734E+07,1952-Jun-01,8flora
5.895891054039079E+07,2.809515224601640E+08,-1.624327355278091E+07,1952-Jul-01,8flora
1.940947182813361E+05,2.936384331819235E+08,-1.108075319730076E+07,1952-Aug-01,8flora
-5.859844310289439E+07,2.953744083709760E+08,-5.503397592605308E+06,1952-Sep-01,8flora
-1.136003402017666E+08,2.872950826541775E+08,7.957392902439833E+04,1952-Oct-01,8flora
