"","name","month","id","nametype","recclass","mass..g.","fall","year","reclat","reclong","GeoLocation","type","subtype","class","group","parent_body","parent"
47,Chelyabinsk,2,57165,Valid,LL5,1.00E+05,Fell,2013,54.81667,61.11667,"(54.81667, 61.11667)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
18,Battle Mountain,8,56133,Valid,L6,2900,Fell,2012,40.66813,-117.18913,"(40.66813, -117.18913)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
30,Boumdeid (2011),9,57167,Valid,L6,3599,Fell,2011,17.17493,-11.34133,"(17.17493, -11.34133)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
249,Sołtmany,4,53829,Valid,L6,1066,Fell,2011,54.00883,22.005,"(54.00883, 22.005)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
267,Thika,7,54493,Valid,L6,14200,Fell,2011,-1.00278,37.15028,"(-1.00278, 37.15028)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
108,Huaxi,7,54719,Valid,H5,1600,Fell,2010,26.46469,106.63241,"(26.46469, 106.63241)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
143,Košice,2,53810,Valid,H5,4300,Fell,2010,48.76367,21.17633,"(48.76367, 21.17633)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
154,Lorton,1,52843,Valid,L6,329.7,Fell,2010,38.70066,-77.21163,"(38.70066, -77.21163)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
168,Mason Gully,4,53653,Valid,H5,24.54,Fell,2010,0,0,"(0.0, 0.0)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
173,Mifflin,4,52090,Valid,L5,3584,Fell,2010,42.9075,-90.36556,"(42.9075, -90.36556)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
286,Varre-Sai,6,53633,Valid,L5,2500,Fell,2010,-20.85001,-41.73356,"(-20.85001, -41.73356)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
12,Ash Creek,2,48954,Valid,L6,9500,Fell,2009,31.805,-97.01,"(31.805, -97.01)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
95,Grimsby,9,50911,Valid,H5,215,Fell,2009,43.2,-79.61667,"(43.2, -79.61667)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
118,Jesenice,4,51589,Valid,L6,3667,Fell,2009,46.42137,14.05217,"(46.42137, 14.05217)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
294,Whetstone Mountains,6,49514,Valid,H5,2138.74,Fell,2009,31.96185,-110.434183,"(31.96185, -110.434183)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
