x,y,z,date,body
-2.720329208041382E+07,1.448993013312673E+08,4.425400098733604E+03,1950-Jan-01,earth
-9.902844544032294E+07,1.094369319626366E+08,-1.513694352209568E+02,1950-Feb-01,earth
-1.396685673000165E+08,4.971618964531777E+07,-7.037141977459192E+03,1950-Mar-01,earth
-1.464662523890862E+08,-2.923080405701003E+07,-1.546432637071796E+04,1950-Apr-01,earth
-1.141223462030881E+08,-9.810564189534968E+07,-2.238299198797345E+04,1950-May-01,earth
-5.025416976612189E+07,-1.428398692156214E+08,-2.628414536004514E+04,1950-Jun-01,earth
2.458543129007226E+07,-1.498346708127843E+08,-2.609895804101974E+04,1950-Jul-01,earth
9.530555176915245E+07,-1.179650263918481E+08,-2.181016331094503E+04,1950-Aug-01,earth
1.406375665933220E+08,-5.466491065973849E+07,-1.432431786821783E+04,1950-Sep-01,earth
1.483169343072220E+08,2.087447933895472E+07,-5.672852561794221E+03,1950-Oct-01,earth
1.158682936117729E+08,9.297290062165442E+07,2.363722033575177E+03,1950-Nov-01,earth
5.304278139100000E+07,1.377727559369719E+08,7.207578088320792E+03,1950-Dec-01,earth
-2.670489271346819E+07,1.447801334935187E+08,7.826551263824105E+03,1951-Jan-01,earth
-9.868007971234441E+07,1.096349341712010E+08,3.672365163333714E+03,1951-Feb-01,earth
-1.395779946675888E+08,5.008610749977884E+07,-3.225679428778589E+03,1951-Mar-01,earth
-1.467190434374624E+08,-2.884842929202961E+07,-1.215917194628157E+04,1951-Apr-01,earth
-1.146627036852015E+08,-9.788427031122285E+07,-1.981098131492734E+04,1951-May-01,earth
-5.096702330092937E+07,-1.429139562315539E+08,-2.462660299190134E+04,1951-Jun-01,earth
2.386390141078505E+07,-1.502424371072960E+08,-2.495147845303267E+04,1951-Jul-01,earth
9.474296245945723E+07,-1.186845021386735E+08,-2.079800100333244E+04,1951-Aug-01,earth
1.403669912620732E+08,-5.558489044812897E+07,-1.319731820703670E+04,1951-Sep-01,earth
1.483916174243386E+08,1.991683868821008E+07,-4.752035378124565E+03,1951-Oct-01,earth
1.162743443137124E+08,9.215646674990205E+07,2.857581182800233E+03,1951-Nov-01,earth
5.366168087186117E+07,1.372326983309316E+08,7.004005084276199E+03,1951-Dec-01,earth
-2.604050284448450E+07,1.445902212607707E+08,6.670470295928419E+03,1952-Jan-01,earth
-9.815335454703654E+07,1.097596648702096E+08,1.802892755322158E+03,1952-Feb-01,earth
-1.401986278149504E+08,4.795399793596917E+07,-5.481211853068322E+03,1952-Mar-01,earth
-1.462973519962368E+08,-3.104709195670484E+07,-1.426587334875017E+04,1952-Apr-01,earth
