x,y,z,date,body
2.149654667396489E+08,5.003385552973349E+07,3.920169149189288E+07,1950-Jan-01,eros
1.772237313218564E+08,1.045244921487883E+08,3.920443937580939E+07,1950-Feb-01,eros
1.274580726011420E+08,1.445191382435007E+08,3.573559266324806E+07,1950-Mar-01,eros
5.745323845162652E+07,1.710633257851577E+08,2.761745146619800E+07,1950-Apr-01,eros
-1.852624702776474E+07,1.715361824849714E+08,1.571897434148949E+07,1950-May-01,eros
-9.333629576302128E+07,1.417348756571499E+08,7.067850754936412E+05,1950-Jun-01,eros
-1.489266433179040E+08,8.714466934016629E+07,-1.398177832399535E+07,1950-Jul-01,eros
-1.801039691327583E+08,1.528022640076316E+07,-2.671064753337341E+07,1950-Aug-01,eros
-1.836404099231984E+08,-5.927158205901793E+07,-3.538314119636604E+07,1950-Sep-01,eros
-1.650858484942424E+08,-1.247156161167991E+08,-3.958783412758844E+07,1950-Oct-01,eros
-1.294142252019462E+08,-1.800543350727215E+08,-3.999840696205660E+07,1950-Nov-01,eros
-8.451220980582257E+07,-2.194967041243510E+08,-3.722530551464643E+07,1950-Dec-01,eros
-3.222720002537616E+07,-2.451128026359890E+08,-3.178446195593187E+07,1951-Jan-01,eros
2.209909732149079E+07,-2.557090773475080E+08,-2.438657575258571E+07,1951-Feb-01,eros
7.022816665096959E+07,-2.530658126662993E+08,-1.652228689582580E+07,1951-Mar-01,eros
1.199712752388387E+08,-2.376116543715975E+08,-7.008546025057599E+06,1951-Apr-01,eros
1.623903721752061E+08,-2.112513265435188E+08,2.540241888604596E+06,1951-May-01,eros
1.981711527883755E+08,-1.735916091128928E+08,1.227490390343609E+07,1951-Jun-01,eros
2.230310809186105E+08,-1.285811484852772E+08,2.109123263964135E+07,1951-Jul-01,eros
2.365790416825882E+08,-7.515306040716776E+07,2.904394994887511E+07,1951-Aug-01,eros
2.357107797895293E+08,-1.721790601214211E+07,3.521854486801144E+07,1951-Sep-01,eros
2.192660876047741E+08,3.992932622834948E+07,3.885574948884174E+07,1951-Oct-01,eros
1.846241384529052E+08,9.555158957578476E+07,3.946304660410464E+07,1951-Nov-01,eros
1.336461577002701E+08,1.401681530767071E+08,3.630103000433774E+07,1951-Dec-01,eros
6.505236504550397E+07,1.689789382276700E+08,2.864608496986020E+07,1952-Jan-01,eros
-1.305923305982678E+07,1.719929858155811E+08,1.668484719978217E+07,1952-Feb-01,eros
-8.405242993089695E+07,1.470454582676206E+08,2.799342164967053E+06,1952-Mar-01,eros
-1.441545329746374E+08,9.341593735034588E+07,-1.249509241557931E+07,1952-Apr-01,eros
-1.775772388255010E+08,2.498759842920350E+07,-2.520296492367043E+07,1952-May-01,eros
-1.846538829777036E+08,-4.986032394686310E+07,-3.446455077053251E+07,1952-Jun-01,eros
-1.687679181887057E+08,-1.166171457854197E+08,-3.923257663889516E+07,1952-Jul-01,eros
-1.349948108069392E+08,-1.738441191608714E+08,-4.014904875466520E+07,1952-Aug-01,eros
-8.961263050120099E+07,-2.164377150256003E+08,-3.764620635615440E+07,1952-Sep-01,eros
-3.945513937472698E+07,-2.430128155595296E+08,-3.264846986625375E+07,1952-Oct-01,eros
1.483016546509453E+07,-2.556163246099016E+08,-2.548063870646468E+07,1952-Nov-01,eros
6.665268301147129E+07,-2.541767742587729E+08,-1.717184426561542E+07,1952-Dec-01,eros
