x,y,z,date,body
2.420667898339728E+08,-1.985718706298855E+08,-1.518646876305327E+06,1950-Jan-01,hebe
2.668095537771090E+08,-1.465930015649378E+08,-1.616664133001295E+07,1950-Feb-01,hebe
2.815166155077990E+08,-9.539638221701130E+07,-2.894198556612056E+07,1950-Mar-01,hebe
2.882304725519345E+08,-3.554952535100216E+07,-4.208445471921587E+07,1950-Apr-01,hebe
2.844401407241193E+08,2.365315480149636E+07,-5.330209725681202E+07,1950-May-01,hebe
2.696897885543966E+08,8.390356945056649E+07,-6.285628256618409E+07,1950-Jun-01,hebe
2.453568637732511E+08,1.391153782695791E+08,-6.976283599491617E+07,1950-Jul-01,hebe
2.108870316460938E+08,1.908682924084350E+08,-7.424384201560161E+07,1950-Aug-01,hebe
1.685274217496901E+08,2.355101037826188E+08,-7.595162124257401E+07,1950-Sep-01,hebe
1.218185339252857E+08,2.708030803181039E+08,-7.504294477513453E+07,1950-Oct-01,hebe
6.958799277733512E+07,2.984709857839230E+08,-7.166311153490523E+07,1950-Nov-01,hebe
1.698101698261669E+07,3.165900215350257E+08,-6.630588540008208E+07,1950-Dec-01,hebe
-3.785302204784571E+07,3.266046697144110E+08,-5.894466761148933E+07,1951-Jan-01,hebe
-9.174241449578206E+07,3.282839356775984E+08,-5.007517013801242E+07,1951-Feb-01,hebe
-1.386250626540429E+08,3.232117490762646E+08,-4.105037140557483E+07,1951-Mar-01,hebe
-1.876907813238310E+08,3.110227454621459E+08,-3.022732736945529E+07,1951-Apr-01,hebe
-2.316802598836232E+08,2.933945516428211E+08,-1.918223267771803E+07,1951-May-01,hebe
-2.730046093416350E+08,2.699433598373626E+08,-7.426424305954382E+06,1951-Jun-01,hebe
-3.086369891272702E+08,2.429144425410339E+08,4.073305665595636E+06,1951-Jul-01,hebe
-3.406910135389290E+08,2.112323007408749E+08,1.589333159919988E+07,1951-Aug-01,hebe
-3.677271824604962E+08,1.764301470355334E+08,2.748065291078996E+07,1951-Sep-01,hebe
