x,y,z,date,body
2.273187369595168E+08,6.422341041703349E+07,-5.879134694240768E+06,1950-Jan-01,itokawa
2.159045679991106E+08,1.183649795479992E+08,-5.050219393458545E+06,1950-Feb-01,itokawa
1.936509967824070E+08,1.608929100268365E+08,-4.021135157140091E+06,1950-Mar-01,itokawa
1.580586577433679E+08,1.987928780781902E+08,-2.655730388239413E+06,1950-Apr-01,itokawa
1.148252573542227E+08,2.244779076241638E+08,-1.186739643100962E+06,1950-May-01,itokawa
6.347468586584934E+07,2.378527284556878E+08,3.984912920237631E+05,1950-Jun-01,itokawa
9.934684494797178E+06,2.363266682245887E+08,1.907219406357959E+06,1950-Jul-01,itokawa
-4.595331676370809E+07,2.179745114284032E+08,3.326025310876891E+06,1950-Aug-01,itokawa
-9.769938091030529E+07,1.808740037254835E+08,4.452403684158988E+06,1950-Sep-01,itokawa
-1.374082464206052E+08,1.262626552704420E+08,5.073310882124096E+06,1950-Oct-01,itokawa
-1.582551700417529E+08,5.218178371944696E+07,4.976393979059376E+06,1950-Nov-01,itokawa
-1.477808895429912E+08,-2.889242365483641E+07,3.923464597962752E+06,1950-Dec-01,itokawa
-9.794977447180854E+07,-1.038093838856169E+08,1.808462783994853E+06,1951-Jan-01,itokawa
-1.772398651371888E+07,-1.462250654482392E+08,-8.683177962035537E+05,1951-Feb-01,itokawa
6.046332085394069E+07,-1.484971567959395E+08,-3.113201792502783E+06,1951-Mar-01,itokawa
1.343582511967505E+08,-1.191570771437097E+08,-4.941503514831759E+06,1951-Apr-01,itokawa
1.855059959004973E+08,-7.171323652368033E+07,-5.954155652513340E+06,1951-May-01,itokawa
2.165315558290127E+08,-1.394532164042387E+07,-6.298268321813232E+06,1951-Jun-01,itokawa
2.273897309129663E+08,4.345337391252706E+07,-6.072177233540840E+06,1951-Jul-01,itokawa
2.214935678398931E+08,9.956599670727755E+07,-5.381484740935624E+06,1951-Aug-01,itokawa
2.008788597565497E+08,1.491347133464342E+08,-4.333085238938630E+06,1951-Sep-01,itokawa
1.692844648686847E+08,1.885341845413490E+08,-3.067111501072727E+06,1951-Oct-01,itokawa
1.269321199975191E+08,2.183943298321325E+08,-1.583987887945861E+06,1951-Nov-01,itokawa
7.881321386707142E+07,2.350418792774421E+08,-5.992868481002748E+04,1951-Dec-01,itokawa
2.433021913361689E+07,2.377887904541735E+08,1.515666682189479E+06,1952-Jan-01,itokawa
-3.175627400357473E+07,2.239894411320756E+08,2.982726425255597E+06,1952-Feb-01,itokawa
-8.183840550257009E+07,1.945057591781895E+08,4.132863917067811E+06,1952-Mar-01,itokawa
-1.270172910184226E+08,1.440749884113419E+08,4.948412937443875E+06,1952-Apr-01,itokawa
-1.544049253469881E+08,7.722852717378980E+07,5.104979011594750E+06,1952-May-01,itokawa
-1.545700350493504E+08,-4.959181177194442E+06,4.344335069658898E+06,1952-Jun-01,itokawa
-1.180223282793818E+08,-8.266649941770707E+07,2.581181430964407E+06,1952-Jul-01,itokawa
-4.522662574720792E+07,-1.375860879696387E+08,-6.912135613411665E+02,1952-Aug-01,itokawa
4.181106324118650E+07,-1.513002368534454E+08,-2.603789258135058E+06,1952-Sep-01,itokawa
1.175324617480488E+08,-1.294779246961078E+08,-4.553970826847948E+06,1952-Oct-01,itokawa
1.757975833100022E+08,-8.410226580478033E+07,-5.788213298294950E+06,1952-Nov-01,itokawa
